Zeit;Kanal A
(ms);(mV)

-21,01406165;0,00000000
-21,00906165;0,00000000
-21,00406165;0,00000000
-20,99906165;0,93996060
-20,99406165;0,56409940
-20,98906165;0,93996060
-20,98406165;-0,37586120
-20,97906165;0,00000000
-20,97406165;-0,75233760
-20,96906165;0,93996060
-20,96406165;0,37586120
-20,95906165;0,37586120
-20,95406165;-1,12819900
-20,94906165;0,75233760
-20,94406165;0,56409940
-20,93906165;0,93996060
-20,93406165;0,75233760
-20,92906165;-0,37586120
-20,92406165;-0,37586120
-20,91906166;1,12819900
-20,91406166;1,88053600
-20,90906166;0,75233760
-20,90406166;0,37586120
-20,89906166;0,00000000
-20,89406166;1,88053600
-20,88906166;-0,93996060
-20,88406166;2,06877400
-20,87906166;1,12819900
-20,87406166;0,56409940
-20,86906166;1,69291300
-20,86406166;1,88053600
-20,85906166;0,93996060
-20,85406166;1,50467500
-20,84906166;1,12819900
-20,84406166;0,75233760
-20,83906166;0,56409940
-20,83406166;0,75233760
-20,82906166;0,18762300
-20,82406166;0,37586120
-20,81906166;0,37586120
-20,81406166;1,12819900
-20,80906166;-0,56409940
-20,80406166;1,12819900
-20,79906166;0,18762300
-20,79406166;-0,75233760
-20,78906166;1,12819900
-20,78406166;-0,18762300
-20,77906166;0,56409940
-20,77406166;1,88053600
-20,76906166;0,37586120
-20,76406166;0,56409940
-20,75906166;0,75233760
-20,75406166;1,12819900
-20,74906166;2,82111200
-20,74406166;3,38582700
-20,73906166;2,63348900
-20,73406166;2,44525100
-20,72906166;2,06877400
-20,72406166;1,31643700
-20,71906166;2,44525100
-20,71406166;3,00935000
-20,70906166;2,63348900
-20,70406166;2,25701300
-20,69906166;1,50467500
-20,69406166;3,94992600
-20,68906166;1,69291300
-20,68406166;2,82111200
-20,67906166;2,06877400
-20,67406166;2,82111200
-20,66906166;4,13816400
-20,66406166;2,44525100
-20,65906166;3,00935000
-20,65406166;1,50467500
-20,64906166;0,56409940
-20,64406166;1,88053600
-20,63906166;2,06877400
-20,63406166;1,69291300
-20,62906166;0,93996060
-20,62406166;1,12819900
-20,61906166;2,25701300
-20,61406166;0,93996060
-20,60906166;1,69291300
-20,60406166;0,00000000
-20,59906166;1,88053600
-20,59406166;1,88053600
-20,58906166;2,25701300
-20,58406166;1,88053600
-20,57906166;1,88053600
-20,57406166;2,82111200
-20,56906166;4,32640200
-20,56406166;2,82111200
-20,55906166;2,44525100
-20,55406166;4,13816400
-20,54906166;2,82111200
-20,54406166;3,94992600
-20,53906166;2,06877400
-20,53406166;1,31643700
-20,52906166;1,12819900
-20,52406166;2,44525100
-20,51906167;0,93996060
-20,51406167;1,69291300
-20,50906167;2,82111200
-20,50406167;1,88053600
-20,49906167;2,44525100
-20,49406167;1,31643700
-20,48906167;4,13816400
-20,48406167;1,88053600
-20,47906167;1,88053600
-20,47406167;0,18762300
-20,46906167;2,06877400
-20,46406167;2,06877400
-20,45906167;2,82111200
-20,45406167;2,82111200
-20,44906167;1,88053600
-20,44406167;1,69291300
-20,43906167;0,93996060
-20,43406167;3,94992600
-20,42906167;2,82111200
-20,42406167;3,00935000
-20,41906167;2,44525100
-20,41406167;3,76168800
-20,40906167;5,07874000
-20,40406167;2,82111200
-20,39906167;3,00935000
-20,39406167;2,44525100
-20,38906167;2,25701300
-20,38406167;2,06877400
-20,37906167;3,94992600
-20,37406167;3,38582700
-20,36906167;1,88053600
-20,36406167;5,64283900
-20,35906167;3,00935000
-20,35406167;2,06877400
-20,34906167;3,38582700
-20,34406167;1,69291300
-20,33906167;2,06877400
-20,33406167;0,93996060
-20,32906167;-0,37586120
-20,32406167;0,75233760
-20,31906167;0,56409940
-20,31406167;1,12819900
-20,30906167;0,93996060
-20,30406167;1,31643700
-20,29906167;0,93996060
-20,29406167;0,37586120
-20,28906167;1,50467500
-20,28406167;1,31643700
-20,27906167;1,31643700
-20,27406167;0,75233760
-20,26906167;1,50467500
-20,26406167;2,44525100
-20,25906167;1,12819900
-20,25406167;1,88053600
-20,24906167;3,94992600
-20,24406167;3,38582700
-20,23906167;2,06877400
-20,23406167;2,44525100
-20,22906167;0,93996060
-20,22406167;1,69291300
-20,21906167;0,93996060
-20,21406167;0,37586120
-20,20906167;1,50467500
-20,20406167;1,50467500
-20,19906167;1,69291300
-20,19406167;0,00000000
-20,18906167;0,56409940
-20,18406167;1,50467500
-20,17906167;0,93996060
-20,17406167;0,93996060
-20,16906167;2,44525100
-20,16406167;-1,31643700
-20,15906167;-1,31643700
-20,15406167;-0,75233760
-20,14906167;1,88053600
-20,14406167;0,37586120
-20,13906167;1,50467500
-20,13406167;0,18762300
-20,12906167;1,12819900
-20,12406168;1,88053600
-20,11906168;0,18762300
-20,11406168;1,31643700
-20,10906168;0,93996060
-20,10406168;2,25701300
-20,09906168;1,69291300
-20,09406168;2,82111200
-20,08906168;2,82111200
-20,08406168;2,82111200
-20,07906168;1,88053600
-20,07406168;3,00935000
-20,06906168;1,12819900
-20,06406168;2,44525100
-20,05906168;0,56409940
-20,05406168;1,50467500
-20,04906168;2,82111200
-20,04406168;2,82111200
-20,03906168;0,93996060
-20,03406168;0,18762300
-20,02906168;1,50467500
-20,02406168;2,06877400
-20,01906168;1,31643700
-20,01406168;3,38582700
-20,00906168;1,12819900
-20,00406168;1,50467500
-19,99906168;0,93996060
-19,99406168;2,25701300
-19,98906168;1,12819900
-19,98406168;0,75233760
-19,97906168;0,93996060
-19,97406168;1,12819900
-19,96906168;1,31643700
-19,96406168;-0,18762300
-19,95906168;1,50467500
-19,95406168;1,69291300
-19,94906168;0,93996060
-19,94406168;1,50467500
-19,93906168;1,88053600
-19,93406168;1,50467500
-19,92906168;0,37586120
-19,92406168;1,12819900
-19,91906168;-1,12819900
-19,91406168;0,37586120
-19,90906168;0,75233760
-19,90406168;2,25701300
-19,89906168;1,12819900
-19,89406168;1,12819900
-19,88906168;1,50467500
-19,88406168;0,56409940
-19,87906168;2,25701300
-19,87406168;1,69291300
-19,86906168;2,25701300
-19,86406168;1,50467500
-19,85906168;2,25701300
-19,85406168;0,93996060
-19,84906168;0,18762300
-19,84406168;0,00000000
-19,83906168;-0,75233760
-19,83406168;-0,93996060
-19,82906168;-1,88053600
-19,82406168;-1,12819900
